30   7.85419e+06
30.5   3.05404e+07
31   3.88275e+07
31.5   2.12426e+07
32   1.46255e+06
32.5   7.5442e+06
33   3.36575e+07
33.5   4.61144e+07
34   2.78484e+07
34.5   2.83934e+07
35   3.41131e+07
35.5   3.89675e+07
36   5.82619e+07
36.5   5.31298e+07
37   5.8672e+07
37.5   7.70684e+07
38   8.98057e+07
38.5   1.18574e+08
39   1.28071e+08
39.5   2.02435e+08
40   2.44461e+08
40.5   4.62739e+08
41   7.91047e+08
41.5   2.5318e+09
42   5.71782e+09
42.5   9.66397e+09
43   1.26199e+10
43.5   1.29276e+10
44   1.04137e+10
44.5   6.53237e+09
45   3.11324e+09
45.5   1.07542e+09
46   5.48483e+08
46.5   6.37517e+08
47   5.00848e+08
47.5   2.26665e+08
48   1.75687e+08
48.5   1.59199e+09
49   4.7901e+09
49.5   8.94876e+09
50   1.237e+10
50.5   1.34262e+10
51   1.15999e+10
51.5   7.81373e+09
52   3.8111e+09
52.5   1.07041e+09
53   5.196e+07
53.5   1.71609e+08
54   5.56272e+08
54.5   6.20654e+08
55   3.56814e+08
55.5   7.44589e+07
56   2.68725e+07
56.5   1.17788e+08
57   2.24952e+08
57.5   2.02757e+08
58   8.92686e+07
58.5   3.31431e+07
59   3.4482e+07
59.5   8.81122e+07
